N is 16384: 

Miss : 233, took time 71372
Miss : 266, took time 68357
Miss : 280, took time 77262
Miss : 410, took time 69040
Miss : 450, took time 74030
Miss : 495, took time 106278
Miss : 552, took time 88559
Miss : 588, took time 69557
Miss : 619, took time 74426
Miss : 714, took time 79023
Miss : 803, took time 81134
Miss : 860, took time 68348
Miss : 879, took time 70236
Miss : 940, took time 84620
Miss : 972, took time 69300
Miss : 1046, took time 71901
Miss : 1197, took time 330962
Miss : 1277, took time 90339
Miss : 1407, took time 5611715
Miss : 1557, took time 84090
Miss : 1559, took time 85765
Miss : 1566, took time 77390
Miss : 1612, took time 68570
Miss : 1635, took time 74134
Miss : 1644, took time 76425
Miss : 1676, took time 97655
Miss : 1712, took time 68935
Miss : 1723, took time 3902658
Miss : 1760, took time 73975
Miss : 1815, took time 68482
Miss : 1920, took time 74057
Miss : 2031, took time 72057
Miss : 2088, took time 73227
Miss : 2114, took time 70494
Miss : 2146, took time 76778
Miss : 2245, took time 69249
Miss : 2319, took time 75194
Miss : 2331, took time 70419
Miss : 2360, took time 71605
Miss : 2380, took time 73407
Miss : 2499, took time 68405
Miss : 2686, took time 79225
Miss : 2855, took time 68448
Miss : 2868, took time 73077
Miss : 3102, took time 69433
Miss : 3122, took time 91445
Miss : 3163, took time 5043661
Miss : 3246, took time 79102
Miss : 3304, took time 72122
Miss : 3323, took time 74371
Miss : 3345, took time 72844
Miss : 3473, took time 77317
Miss : 3668, took time 97820
Miss : 3775, took time 72205
Miss : 3806, took time 75533
Miss : 3833, took time 69609
Miss : 3839, took time 72619
Miss : 3933, took time 70544
Miss : 3947, took time 102879
Miss : 3951, took time 72894
Miss : 3955, took time 75028
Miss : 4211, took time 101115
Miss : 4276, took time 68658
Miss : 4344, took time 68558
Miss : 4517, took time 69654
Miss : 4569, took time 116120
Miss : 4602, took time 74569
Miss : 4689, took time 69090
Miss : 4796, took time 68616
Miss : 4829, took time 147304
Miss : 4845, took time 69972
Miss : 4926, took time 73571
Miss : 5070, took time 73111
Miss : 5093, took time 68640
Miss : 5102, took time 74478
Miss : 5125, took time 74182
Miss : 5127, took time 85278
Miss : 5260, took time 130834
Miss : 5380, took time 77808
Miss : 5395, took time 68580
Miss : 5406, took time 68701
Miss : 5419, took time 70214
Miss : 5488, took time 81381
Miss : 5496, took time 73039
Miss : 5555, took time 75109
Miss : 5640, took time 82352
Miss : 5693, took time 75982
Miss : 5791, took time 649766
Miss : 5805, took time 68289
Miss : 5841, took time 70903
Miss : 5856, took time 80511
Miss : 5887, took time 70132
Miss : 5895, took time 71398
Miss : 5922, took time 69731
Miss : 5939, took time 80253
Miss : 5942, took time 68983
Miss : 5954, took time 82243
Miss : 6427, took time 75299
Miss : 6432, took time 81279
Miss : 6440, took time 69944
Miss : 6447, took time 82574
Miss : 6478, took time 68529
Miss : 6514, took time 82897
Miss : 6613, took time 85317
Miss : 6825, took time 72276
Miss : 6827, took time 85884
Miss : 6859, took time 82770
Miss : 6945, took time 70942
Miss : 6985, took time 68360
Miss : 7024, took time 75985
Miss : 7122, took time 83552
Miss : 7159, took time 69005
Miss : 7252, took time 75184
Miss : 7253, took time 89823
Miss : 7268, took time 129278
Miss : 7364, took time 441972
Miss : 7370, took time 157108
Miss : 7421, took time 72079
Miss : 7516, took time 70946
Miss : 7517, took time 97159
Miss : 7562, took time 87991
Miss : 7625, took time 71330
Miss : 7655, took time 318105
Miss : 7668, took time 104151
Miss : 7692, took time 71540
Miss : 7695, took time 70629
Miss : 7737, took time 80705
Miss : 7763, took time 68253
Miss : 7862, took time 68732
Miss : 7908, took time 69287
Miss : 7912, took time 69876
Miss : 7952, took time 71877
Miss : 7954, took time 89512
Miss : 8021, took time 128668
Miss : 8044, took time 79840
Miss : 8049, took time 369449
Miss : 8208, took time 81053
Miss : 8210, took time 71810
Miss : 8242, took time 74861
Miss : 8286, took time 71587
Miss : 8288, took time 77367
Miss : 8447, took time 423402
Miss : 8509, took time 69621
Miss : 8539, took time 75431
Miss : 8587, took time 69863
Miss : 8620, took time 85059
Miss : 8621, took time 82824
Miss : 8668, took time 69431
Miss : 8672, took time 69400
Miss : 8742, took time 72185
Miss : 8782, took time 69865
Miss : 8810, took time 79470
Miss : 8885, took time 72601
Miss : 8902, took time 68707
Miss : 8942, took time 69782
Miss : 9102, took time 92314
Miss : 9300, took time 74199
Miss : 9311, took time 69745
Miss : 9315, took time 76024
Miss : 9384, took time 73532
Miss : 9464, took time 74415
Miss : 9480, took time 341263
Miss : 9554, took time 69794
Miss : 9588, took time 71313
Miss : 9671, took time 101805
Miss : 9746, took time 68261
Miss : 9875, took time 76159
Miss : 9962, took time 452970
Miss : 9971, took time 71692
Miss : 10046, took time 78889
Miss : 10075, took time 69144
Miss : 10180, took time 81408
Miss : 10366, took time 71475
Miss : 10419, took time 366348
Miss : 10425, took time 71134
Miss : 10456, took time 69075
Miss : 10538, took time 79523
Miss : 10545, took time 75439
Miss : 10570, took time 78041
Miss : 10597, took time 78641
Miss : 10615, took time 68364
Miss : 10616, took time 105468
Miss : 10746, took time 79963
Miss : 10903, took time 2825021
Miss : 10930, took time 402662
Miss : 11232, took time 146436
Miss : 11369, took time 129835
Miss : 11400, took time 71003
Miss : 11515, took time 68541
Miss : 11534, took time 70273
Miss : 11653, took time 89348
Miss : 11783, took time 77100
Miss : 11803, took time 68606
Miss : 11850, took time 68739
Miss : 11857, took time 71560
Miss : 11892, took time 68569
Miss : 11899, took time 89659
Miss : 11905, took time 81103
Miss : 11910, took time 78236
Miss : 11913, took time 69376
Miss : 11915, took time 132736
Miss : 11961, took time 79004
Miss : 11988, took time 73272
Miss : 12045, took time 69840
Miss : 12336, took time 69098
Miss : 12475, took time 69388
Miss : 12564, took time 73685
Miss : 12573, took time 163968
Miss : 12576, took time 79462
Miss : 12636, took time 73079
Miss : 12816, took time 80906
Miss : 13008, took time 76802
Miss : 13094, took time 69054
Miss : 13137, took time 70082
Miss : 13286, took time 68541
Miss : 13334, took time 95349
Miss : 13641, took time 70322
Miss : 13686, took time 71165
Miss : 13825, took time 286141
Miss : 13868, took time 77729
Miss : 13962, took time 69373
Miss : 14002, took time 2428206
Miss : 14011, took time 78582
Miss : 14021, took time 76836
Miss : 14022, took time 72702
Miss : 14078, took time 73686
Miss : 14173, took time 70591
Miss : 14186, took time 80422
Miss : 14225, took time 68494
Miss : 14240, took time 73081
Miss : 14251, took time 101500
Miss : 14526, took time 77605
Miss : 14599, took time 77491
Miss : 14802, took time 74716
Miss : 14915, took time 71118
Miss : 14933, took time 69287
Miss : 14946, took time 114724
Miss : 14957, took time 109309
Miss : 14993, took time 69372
Miss : 15046, took time 71663
Miss : 15063, took time 156946
Miss : 15201, took time 70910
Miss : 15212, took time 81789
Miss : 15213, took time 73223
Miss : 15230, took time 72964
Miss : 15337, took time 70726
Miss : 15352, took time 75634
Miss : 15442, took time 70054
Miss : 15517, took time 111139
Miss : 15533, took time 71558
Miss : 15561, took time 75235
Miss : 15898, took time 70654
Miss : 15927, took time 75942
Miss : 15931, took time 71674
Miss : 16038, took time 71217
Miss : 16159, took time 77783
Miss : 16179, took time 106990
Miss : 16203, took time 75545
Miss : 16218, took time 68356
Miss : 16243, took time 70486
Miss : 16314, took time 102738
Miss : 16326, took time 71479

The average miss size is 61

N is 16384: 

Miss : 107, took time 72661
Miss : 162, took time 72157
Miss : 201, took time 69709
Miss : 219, took time 110926
Miss : 220, took time 71215
Miss : 221, took time 81675
Miss : 250, took time 76283
Miss : 479, took time 69427
Miss : 580, took time 74022
Miss : 629, took time 76672
Miss : 1082, took time 91437
Miss : 1099, took time 70532
Miss : 1344, took time 98824
Miss : 1405, took time 119750
Miss : 1532, took time 69150
Miss : 1869, took time 79791
Miss : 1942, took time 71646
Miss : 1993, took time 76088
Miss : 2032, took time 74639
Miss : 2086, took time 70889
Miss : 2113, took time 73604
Miss : 2214, took time 92570
Miss : 2516, took time 85110
Miss : 2557, took time 123965
Miss : 2717, took time 91096
Miss : 2822, took time 68995
Miss : 3098, took time 79353
Miss : 3143, took time 73442
Miss : 3240, took time 91191
Miss : 3411, took time 76271
Miss : 3420, took time 76216
Miss : 3509, took time 70806
Miss : 3556, took time 149230
Miss : 3561, took time 78750
Miss : 3677, took time 82614
Miss : 3693, took time 79756
Miss : 3709, took time 75920
Miss : 3862, took time 127810
Miss : 4020, took time 73383
Miss : 4089, took time 104134
Miss : 4164, took time 77007
Miss : 4184, took time 69139
Miss : 4300, took time 235727
Miss : 4364, took time 74115
Miss : 4465, took time 95484
Miss : 4702, took time 70540
Miss : 4729, took time 69165
Miss : 4982, took time 72562
Miss : 5012, took time 148324
Miss : 5340, took time 91203
Miss : 5400, took time 79152
Miss : 5428, took time 81099
Miss : 5450, took time 77546
Miss : 5547, took time 69903
Miss : 5605, took time 467498
Miss : 5716, took time 78007
Miss : 5829, took time 73073
Miss : 5879, took time 69318
Miss : 5968, took time 109267
Miss : 5974, took time 73122
Miss : 6156, took time 102618
Miss : 6310, took time 77248
Miss : 6343, took time 70305
Miss : 6412, took time 84348
Miss : 6533, took time 69539
Miss : 6734, took time 75666
Miss : 6901, took time 80280
Miss : 6944, took time 481039
Miss : 6966, took time 74279
Miss : 7027, took time 70547
Miss : 7123, took time 73457
Miss : 7308, took time 104652
Miss : 7382, took time 70547
Miss : 7549, took time 72398
Miss : 7587, took time 71481
Miss : 7594, took time 72814
Miss : 7697, took time 97648
Miss : 7724, took time 68908
Miss : 7776, took time 68847
Miss : 7779, took time 70125
Miss : 7797, took time 72499
Miss : 7831, took time 70611
Miss : 7892, took time 79386
Miss : 7948, took time 104009
Miss : 7998, took time 75054
Miss : 8097, took time 104242
Miss : 8124, took time 94878
Miss : 8190, took time 70757
Miss : 8322, took time 70244
Miss : 8355, took time 121298
Miss : 8414, took time 75211
Miss : 8438, took time 72813
Miss : 8459, took time 69297
Miss : 8499, took time 111824
Miss : 8547, took time 72710
Miss : 8553, took time 74138
Miss : 8573, took time 74101
Miss : 8576, took time 75158
Miss : 8587, took time 79641
Miss : 8753, took time 73945
Miss : 8849, took time 83020
Miss : 8863, took time 74805
Miss : 8911, took time 74512
Miss : 9038, took time 103865
Miss : 9426, took time 70145
Miss : 9440, took time 73748
Miss : 9475, took time 802610
Miss : 9529, took time 83532
Miss : 9570, took time 81790
Miss : 9618, took time 75509
Miss : 9726, took time 73324
Miss : 9833, took time 85449
Miss : 9836, took time 80774
Miss : 9865, took time 78798
Miss : 10067, took time 93254
