TestCases, MeanMissRate
1,203
2,308
3,82
4,49
5,92
6,104
7,92
8,82
9,77
10,85
11,97
12,93
13,89
14,96
15,45
16,68
17,55
18,92
19,108
20,72
21,80
22,114
23,99
24,101
25,91
26,73
27,88
28,104
29,93
30,106
31,99
32,100
33,98
34,92
35,102
36,97
37,78
38,44
39,53
40,100
41,101
42,75
43,81
44,56
45,114
46,37
47,33
48,83
49,28
50,31
51,39
52,77
53,30
54,79
55,91
56,94
57,110
58,101
59,96
60,81
61,93
62,94
63,113
64,103
65,104
66,97
67,105
68,100
69,97
70,92
71,117
72,99
73,112
74,92
75,96
76,102
77,94
78,99
79,92
80,95
81,55
82,94
83,97
84,102
85,109
86,114
87,96
88,36
89,33
90,35
91,64
92,34
93,27
94,49
95,40
96,46
97,53
98,67
99,44
100,40
101,49
