
N is 16384: 

Miss : 113, took time 79835
Miss : 234, took time 76691
Miss : 292, took time 415036
Miss : 296, took time 136719
Miss : 328, took time 375013
Miss : 427, took time 72242
Miss : 616, took time 91650
Miss : 1223, took time 79757
Miss : 1280, took time 72781
Miss : 1438, took time 90571
Miss : 1457, took time 2149884
Miss : 1882, took time 123747
Miss : 2093, took time 68912
Miss : 2333, took time 92615
Miss : 3084, took time 95784
Miss : 3309, took time 527265
Miss : 3460, took time 92481
Miss : 3845, took time 307386
Miss : 4268, took time 73544
Miss : 4375, took time 89169
Miss : 4492, took time 103415
Miss : 4591, took time 82210
Miss : 4704, took time 92138
Miss : 5351, took time 69717
Miss : 5828, took time 76753
Miss : 6027, took time 83762
Miss : 6180, took time 102031
Miss : 6192, took time 78948
Miss : 6202, took time 2145487
Miss : 6203, took time 325844
Miss : 6511, took time 76467
Miss : 6592, took time 71964
Miss : 6661, took time 85653
Miss : 6728, took time 73302
Miss : 6882, took time 69296
Miss : 7014, took time 79076
Miss : 7547, took time 103960
Miss : 7835, took time 114975
Miss : 7850, took time 78245
Miss : 8242, took time 81738
Miss : 8313, took time 94489
Miss : 8335, took time 237197
Miss : 8521, took time 77520
Miss : 8767, took time 167701
Miss : 8856, took time 70662
Miss : 8886, took time 80946
Miss : 9109, took time 68987
Miss : 9112, took time 280926
Miss : 9394, took time 72791
Miss : 9724, took time 79972
Miss : 9892, took time 72092
Miss : 9941, took time 71621
Miss : 10297, took time 71941
Miss : 10567, took time 11761239
Miss : 10777, took time 95863
Miss : 10791, took time 111598
Miss : 11117, took time 114728
Miss : 11400, took time 113768
Miss : 11530, took time 70228
Miss : 11709, took time 68940
Miss : 11827, took time 71740
Miss : 11847, took time 96238
Miss : 12318, took time 78558
Miss : 12541, took time 112422
Miss : 12566, took time 101050
Miss : 12625, took time 94752
Miss : 12793, took time 70689
Miss : 12802, took time 95271
Miss : 12882, took time 6167204
Miss : 14219, took time 91704
Miss : 14274, took time 69971
Miss : 14486, took time 82379
Miss : 14504, took time 94549
Miss : 15137, took time 76704
Miss : 15295, took time 3128537
Miss : 15410, took time 430572
Miss : 15474, took time 166983
Miss : 15761, took time 465421

The average miss size is 203

N is 16384: 

Miss : 163, took time 114099
Miss : 214, took time 73659
Miss : 792, took time 74637
Miss : 1000, took time 76420
Miss : 1276, took time 68668
Miss : 1746, took time 98307
Miss : 2474, took time 69646
Miss : 2514, took time 93546
Miss : 2830, took time 5641328
Miss : 3409, took time 85769
Miss : 3918, took time 67967
Miss : 4038, took time 76518
Miss : 4285, took time 80773
Miss : 5037, took time 74639
Miss : 5093, took time 6928560
Miss : 5427, took time 75989
Miss : 6229, took time 78806
Miss : 6723, took time 69318
Miss : 6735, took time 67943
Miss : 6928, took time 68047
Miss : 7165, took time 88835
Miss : 7999, took time 106594
Miss : 8234, took time 287146
Miss : 8365, took time 67602
Miss : 8829, took time 72354
Miss : 9069, took time 71672
Miss : 9144, took time 83913
Miss : 9184, took time 98123
Miss : 9405, took time 80233
Miss : 9546, took time 93235
Miss : 10039, took time 76766
Miss : 10275, took time 100621
Miss : 10301, took time 98075
Miss : 10388, took time 6415895
Miss : 11411, took time 76329
Miss : 12361, took time 72230
Miss : 12417, took time 87470
Miss : 12477, took time 2947744
Miss : 12551, took time 77380
Miss : 12649, took time 159975
Miss : 12665, took time 102174
Miss : 12728, took time 79403
Miss : 12801, took time 1873541
Miss : 12975, took time 296635
Miss : 13012, took time 69030
Miss : 13597, took time 81464
Miss : 13617, took time 98140
Miss : 14345, took time 85965
Miss : 14498, took time 84267
Miss : 14623, took time 72938
Miss : 15066, took time 70244
Miss : 16062, took time 79408
Miss : 16204, took time 99406

The average miss size is 308

N is 16384: 

Miss : 50, took time 2381844
Miss : 73, took time 109054
Miss : 193, took time 73872
Miss : 218, took time 85781
Miss : 305, took time 78573
Miss : 312, took time 280700
Miss : 409, took time 75022
Miss : 429, took time 577375
Miss : 456, took time 75138
Miss : 509, took time 93471
Miss : 578, took time 2513285
Miss : 620, took time 97027
Miss : 708, took time 92740
Miss : 768, took time 1293073
Miss : 788, took time 78088
Miss : 826, took time 326644
Miss : 847, took time 88443
Miss : 868, took time 74513
Miss : 911, took time 73363
Miss : 965, took time 276409
Miss : 1080, took time 98508
Miss : 1135, took time 401948
Miss : 1214, took time 90855
Miss : 1232, took time 101602
Miss : 1299, took time 106602
Miss : 1307, took time 247464
Miss : 1466, took time 1678473
Miss : 1474, took time 75400
Miss : 1496, took time 88565
Miss : 1577, took time 493713
Miss : 1599, took time 109093
Miss : 1830, took time 107424
Miss : 1832, took time 371959
Miss : 2023, took time 271274
Miss : 2192, took time 79217
Miss : 2255, took time 80141
Miss : 2269, took time 73691
Miss : 2514, took time 902793
Miss : 2532, took time 406614
Miss : 2566, took time 74105
Miss : 2652, took time 89025
Miss : 2717, took time 469925
Miss : 2854, took time 280764
Miss : 2939, took time 250307
Miss : 3048, took time 102304
Miss : 3133, took time 464611
Miss : 3170, took time 73361
Miss : 3203, took time 279473
Miss : 3286, took time 83189
Miss : 3301, took time 112633
Miss : 3436, took time 437590
Miss : 3490, took time 74037
Miss : 3577, took time 382593
Miss : 3645, took time 282571
Miss : 3731, took time 76518
Miss : 3787, took time 840311
Miss : 3974, took time 1715577
Miss : 3989, took time 753143
Miss : 4345, took time 106430
Miss : 4528, took time 1215365
Miss : 4561, took time 81965
Miss : 4860, took time 31280142
Miss : 4953, took time 73472
Miss : 5008, took time 111149
Miss : 5154, took time 150003
Miss : 5161, took time 77084
Miss : 5263, took time 273697
Miss : 5298, took time 411362
Miss : 5319, took time 95471
Miss : 5358, took time 73890
Miss : 5393, took time 90034
Miss : 5499, took time 8113413
Miss : 5541, took time 287809
Miss : 5544, took time 82273
Miss : 5708, took time 274870
Miss : 5738, took time 601462
Miss : 5769, took time 93223
Miss : 5780, took time 219387
Miss : 5792, took time 94880
Miss : 5804, took time 916121
Miss : 5816, took time 115888
Miss : 5824, took time 2220875
Miss : 5932, took time 97066
Miss : 5968, took time 296281
Miss : 6165, took time 77222
Miss : 6184, took time 104135
Miss : 6270, took time 894280
Miss : 6286, took time 1619868
Miss : 6306, took time 376698
Miss : 6344, took time 103830
Miss : 6755, took time 274026
Miss : 6771, took time 2920503
Miss : 6841, took time 86105
Miss : 6844, took time 105603
Miss : 6870, took time 101527
Miss : 7018, took time 95995
Miss : 7044, took time 94162
Miss : 7159, took time 102439
Miss : 7166, took time 75786
Miss : 7211, took time 1139157
Miss : 7213, took time 79095
Miss : 7245, took time 282113
Miss : 7864, took time 220438
Miss : 7941, took time 76449
Miss : 7944, took time 77044
Miss : 7977, took time 77964
Miss : 8291, took time 86164
Miss : 8371, took time 94456
Miss : 8397, took time 322378
Miss : 8462, took time 4115683
Miss : 8563, took time 750724
Miss : 9149, took time 74124
Miss : 9160, took time 3478701
Miss : 9268, took time 407488
Miss : 9374, took time 9092668
Miss : 9418, took time 77179
Miss : 9501, took time 79440
Miss : 9586, took time 75669
Miss : 9619, took time 806233
Miss : 9648, took time 295330
Miss : 9709, took time 292722
Miss : 9717, took time 296038
Miss : 9796, took time 1980309
Miss : 9827, took time 100225
Miss : 9884, took time 92213
Miss : 9915, took time 119019
Miss : 10152, took time 83090
Miss : 10231, took time 372201
Miss : 10253, took time 102054
Miss : 10314, took time 418008
Miss : 10411, took time 95291
Miss : 10621, took time 113105
Miss : 10681, took time 138269
Miss : 10865, took time 239239
Miss : 10892, took time 256730
Miss : 11021, took time 111860
Miss : 11279, took time 311382
Miss : 11295, took time 100756
Miss : 11324, took time 77990
Miss : 11348, took time 206637
Miss : 11574, took time 104588
Miss : 11630, took time 328275
Miss : 11845, took time 270444
Miss : 11955, took time 94450
Miss : 12012, took time 91003
Miss : 12155, took time 4695212
Miss : 12196, took time 9389621
Miss : 12344, took time 89899
Miss : 12384, took time 91351
Miss : 12389, took time 2942153
Miss : 12590, took time 83851
Miss : 12792, took time 91102
Miss : 12812, took time 99308
Miss : 12847, took time 77968
Miss : 12956, took time 103508
Miss : 13095, took time 75436
Miss : 13124, took time 107363
Miss : 13248, took time 77453
Miss : 13378, took time 441202
Miss : 13695, took time 99675
Miss : 13831, took time 91348
Miss : 13949, took time 314008
Miss : 13992, took time 333003
Miss : 14108, took time 315451
Miss : 14294, took time 93420
Miss : 14320, took time 356167
Miss : 14347, took time 93511
Miss : 14386, took time 295062
Miss : 14395, took time 100914
Miss : 14414, took time 95902
Miss : 14494, took time 103816
Miss : 14534, took time 73134
Miss : 14543, took time 601549
Miss : 14545, took time 87576
Miss : 14556, took time 75074
Miss : 14567, took time 92690
Miss : 14632, took time 81322
Miss : 14655, took time 84609
Miss : 14773, took time 97011
Miss : 14822, took time 127499
Miss : 14948, took time 89867
Miss : 15072, took time 942386
Miss : 15296, took time 79201
Miss : 15584, took time 130893
Miss : 15600, took time 87910
Miss : 15760, took time 856460
Miss : 15782, took time 95253
Miss : 15936, took time 262591
Miss : 15962, took time 93505
Miss : 15966, took time 82999
Miss : 15970, took time 93754
Miss : 16027, took time 74354
